1100	Heading 2	8.3 — Ghouls
1101	Normal	Ghouls são a mão mortal da noite: fazem triagem, transporte, agenda, cobertura e dano de bastidor. O índice abaixo destaca função, zona de atuação e rede principal.
1102	Heading 3	Camarilla
1103	List Bullet	A | Mariana Lobo — Camarilla • Mortal. Chefe de gabinete. Atua em Paulista/Jardins. Vínculo mais usado: Artur Macedo.
1104	List Bullet	B | Carla Nogueira — Camarilla • Mortal. Assistente de curadoria de Elysium. Atua em Paulista/Pinheiros. Vínculo mais usado: Luiza Salles.
1105	List Bullet	B | Jonas "Coro" — Camarilla • Mortal. Coordenador de abrigo e coral. Atua em Centro. Vínculo mais usado: Padre Miguel Aranha.
1106	List Bullet	B | Leonardo "Aprendiz" — Camarilla • Mortal. Assistente de laboratório. Atua em Centro Expandido. Vínculo mais usado: Dario Kron.
1107	List Bullet	B | Rui "Barata" — Camarilla • Mortal. Técnico de campo. Atua em Barra Funda/Lapa. Vínculo mais usado: Nico "Sombra".
1108	List Bullet	B | Vitor Kallas — Camarilla • Mortal. Motorista e apoio tático. Atua em Centro Expandido. Vínculo mais usado: Samira al-Haddad.
1109	List Bullet	C | Ana "Terapeuta" Reis — Camarilla • Mortal. Retentora e cobertura clínica. Atua em Consolação/Higienópolis. Vínculo mais usado: Marcia Falcao.
1110	List Bullet	C | Camila "Flash" Siqueira — Camarilla • Mortal. Fotografa de evento. Atua em Pinheiros/Moema. Vínculo mais usado: Luiza Salles.
1111	List Bullet	C | Damião "Guarita" — Camarilla • Mortal. Segurança e controle de entrada. Atua em Morumbi/Campo Belo. Vínculo mais usado: Henrique Valadares.
1112	List Bullet	C | Igor "Sombra" Camargo — Camarilla • Mortal. Motorista de apoio e fuga. Atua em Paulista/Jardins. Vínculo mais usado: Artur Macedo.
1113	List Bullet	C | Lara "Contenção" Tavares — Camarilla • Mortal. Segurança de Elysium. Atua em Liberdade/Paulista. Vínculo mais usado: Samira al-Haddad.
1114	List Bullet	C | Marcela "Cartório" Guimaraes — Camarilla • Mortal. Escritura e regularização discreta. Atua em Itaim/Berrini. Vínculo mais usado: Isabel do Amaral.
1115	List Bullet	C | Marcos "Sacristão" Vieira — Camarilla • Mortal. Sacristão e logística. Atua em Bela Vista/Bixiga. Vínculo mais usado: Padre Miguel Aranha.
1116	List Bullet	C | Paula "Compliance" Azevedo — Camarilla • Mortal. Advogada de crise. Atua em Morumbi/Campo Belo. Vínculo mais usado: Henrique Valadares.
1117	List Bullet	C | Pedro "Manutenção" Lins — Camarilla • Mortal. Retentor. Atua em Perdizes/Barra Funda. Vínculo mais usado: Raimundo "Rato-Rei".
1118	List Bullet	C | Renato "Bico" Sampaio — Camarilla • Mortal. Técnico de laboratório. Atua em Butantã/USP. Vínculo mais usado: Dario Kron.
1119	List Bullet	C | Ricardo "Protocolos" Nery — Camarilla • Mortal. Maitre de Elysium. Atua em Paulista/Jardins. Vínculo mais usado: Mateus Cordeiro.
1120	List Bullet	C | Samir "Escrivão" Haddad — Camarilla • Mortal. Escrivão e papelada discreta. Atua em Ipiranga/Cursino. Vínculo mais usado: Nadia Nasser.
1121	List Bullet	C | Sonia "Ateliê" — Camarilla • Mortal. Retentora. Atua em Moema/Paraíso. Vínculo mais usado: Clara Montenegro.
1122	List Bullet	C | Yuri "Curador" Sato — Camarilla • Mortal. Equipe de Elysium. Atua em Liberdade. Vínculo mais usado: Helena Vasconcelos.
1123	List Bullet	Apoio | Jonas Santos — Camarilla • Mortal. Correio e entrega rápida. Atua em eixos de carga (Zona Cinza de carga e sumiço). Vínculo mais usado: Nico "Sombra".
1124	List Bullet	Apoio | Silvia Kajiki — Camarilla • Mortal. Recepção e lista. Atua em Pinheiros/Vila Madalena. Vínculo mais usado: Luiza Salles.
1125	List Bullet	Apoio | Victor Pires — Camarilla • Mortal. Segurança e motorista. Atua em Paulista/Jardins. Vínculo mais usado: Artur Macedo.
1126	Heading 3	Anarquistas
1127	Heading 4	Baronia da Ferrugem (Mooca/Tatuapé)
1128	List Bullet	B | Tiago "Tranca" — Anarquistas • Mortal. Chefe de segurança da baronia. Atua em Tatuapé/Mooca. Vínculo mais usado: Renata Ferraz.
1129	List Bullet	C | Maya "Backdoor" Costa — Anarquistas • Mortal. Hacker e câmera. Atua em Baronato Mooca/Tatuapé. Vínculo mais usado: Katia "Zero".
1130	List Bullet	C | Nando "Desmanche" Alves — Anarquistas • Mortal. Desmanche e fuga limpa. Atua em Baronato Mooca/Tatuapé. Vínculo mais usado: Rafa "Ferro".
1131	List Bullet	C | Rodrigo "Fiel" Santana — Anarquistas • Mortal. Capanga. Atua em Baronato Mooca/Tatuapé. Vínculo mais usado: Renata Ferraz.
1132	List Bullet	Apoio | Douglas Ferraz — Anarquistas • Mortal. Logistica e carros. Atua em Tatuapé/Mooca. Vínculo mais usado: Renata Ferraz.
1133	Heading 4	Leste de Aço (Itaquera/Extremo Leste)
1134	List Bullet	C | Lia "Comunidad" Souza — Anarquistas • Mortal. Contato mortal. Atua em Baronato Leste. Vínculo mais usado: Diego "Itaquera" Nascimento.
1135	List Bullet	C | Paula "Olheira" Nascimento — Anarquistas • Mortal. Olheira de rua. Atua em Baronato Leste. Vínculo mais usado: Diego "Itaquera" Nascimento.
1136	List Bullet	Apoio | Rafaela Novais — Anarquistas • Mortal. Socorro e triagem. Atua em Baronato Leste. Vínculo mais usado: Diego "Itaquera" Nascimento.
1137	Heading 4	Matilha do Sul (Capão/Grajaú e bordas verdes)
1138	List Bullet	C | Jessica "Biqueira" Ramos — Anarquistas • Mortal. Gerente de esquina. Atua em Baronato Sul. Vínculo mais usado: Bia "Matilha".
1139	List Bullet	C | Marcelo "Moto" Vieira — Anarquistas • Mortal. Courier. Atua em Baronato Sul. Vínculo mais usado: Bia "Matilha".
1140	List Bullet	C | Wesley "Faixa" Dias — Anarquistas • Mortal. Motoqueiro de entrega. Atua em Baronato Sul. Vínculo mais usado: Marcelo "Moto" Vieira.
1141	Heading 3	Autárquicos
1142	List Bullet	B | Lia Morais — Autárquicos • Mortal. Necroassistente. Atua em Centro Velho/cemitérios. Vínculo mais usado: Donato Lazzari.
1143	List Bullet	C | Silvia "Fúnebre" Prado — Autárquicos • Mortal. Diretora de funerária. Atua em Consolação. Vínculo mais usado: Donato Lazzari.
1144	List Bullet	Apoio | Maria Zélia Ramos — Autárquicos • Mortal. Gestora de funerária. Atua em Cemitérios. Vínculo mais usado: Celia Moura.
1145	Heading 3	Independentes
1146	List Bullet	B | Beto "Mecânico" — Independentes • Mortal. Dono de oficina e operador de fuga. Atua em eixos de carga e pátios de apoio. Vínculo mais usado: João do Trem.
1147	List Bullet	C | Eli "Despacho" Araújo — Independentes • Mortal. Despachante e regularizador de carga. Atua em eixos de carga (Barra Funda/Lapa). Vínculo mais usado: João do Trem.
1148	List Bullet	C | Teresa "Balança" Pacheco — Independentes • Mortal. Conferente de doca e triagem de carga. Atua em eixos de carga (Barra Funda/Lapa). Vínculo mais usado: Eli "Despacho" Araújo.
